Country,Year,Status,GDP,Population,Schooling,Lifeexpectancy,AdultMortality,infantdeaths,under-fivedeaths
Afghanistan,2015,Developing,584.25921,33736494,10.1,65,263,62,83
Afghanistan,2014,Developing,612.696514,327582,10,59.9,271,64,86
Afghanistan,2013,Developing,631.744976,31731688,9.9,59.9,268,66,89
Afghanistan,2012,Developing,669.959,3696958,9.8,59.5,272,69,93
Afghanistan,2011,Developing,63.537231,2978599,9.5,59.2,275,71,97
Afghanistan,2010,Developing,553.32894,2883167,9.2,58.8,279,74,102
Afghanistan,2009,Developing,445.8932979,284331,8.9,58.6,281,77,106
Afghanistan,2008,Developing,373.3611163,2729431,8.7,58.1,287,80,110
Afghanistan,2007,Developing,369.835796,26616792,8.4,57.5,295,82,113
Afghanistan,2006,Developing,272.56377,2589345,8.1,57.3,295,84,116
Afghanistan,2005,Developing,25.2941299,257798,7.9,57.3,291,85,118
Afghanistan,2004,Developing,219.1413528,24118979,6.8,57,293,87,120
Afghanistan,2003,Developing,198.7285436,2364851,6.5,56.7,295,87,122
Afghanistan,2002,Developing,187.84595,21979923,6.2,56.2,3,88,122
Afghanistan,2001,Developing,117.49698,2966463,5.9,55.3,316,88,122
Afghanistan,2000,Developing,114.56,293756,5.5,54.8,321,88,122
Albania,2015,Developing,3954.22783,28873,14.2,77.8,74,0,0
Albania,2014,Developing,4575.763787,288914,14.2,77.5,8,0,1
Albania,2013,Developing,4414.72314,289592,14.2,77.2,84,0,1
Albania,2012,Developing,4247.61438,2941,14.2,76.9,86,0,1
Albania,2011,Developing,4437.17868,295195,13.3,76.6,88,0,1
Albania,2010,Developing,494.358832,291321,12.5,76.2,91,1,1
Albania,2009,Developing,4114.136545,2927519,12.2,76.1,91,1,1
Albania,2008,Developing,437.539647,2947314,12,75.3,1,1,1
Albania,2007,Developing,363.13685,29717,11.6,75.9,9,1,1
Albania,2006,Developing,35.1293,2992547,11.4,74.2,99,1,1
Albania,2005,Developing,279.142931,311487,10.8,73.5,15,1,1
Albania,2004,Developing,2416.588235,326939,10.9,73,17,1,1
Albania,2003,Developing,189.681557,339616,10.7,72.8,18,1,1
Albania,2002,Developing,1453.642777,3511,10.7,73.3,15,1,1
Albania,2001,Developing,1326.97339,36173,10.6,73.6,14,1,1
Albania,2000,Developing,1175.788981,38927,10.7,72.6,11,1,1
Algeria,2015,Developing,4132.76292,39871528,14.4,75.6,19,21,24
Algeria,2014,Developing,547.8517,39113313,14.4,75.4,11,21,24
Algeria,2013,Developing,5471.866766,38338562,14.4,75.3,112,21,24
Algeria,2012,Developing,5564.82566,37565847,14.4,75.1,113,21,24
Algeria,2011,Developing,5432.2523,36819558,14,74.9,116,21,24
Algeria,2010,Developing,4463.394675,36117637,13.6,74.7,119,21,24
Algeria,2009,Developing,3868.83123,3546576,13.1,74.4,123,20,23
Algeria,2008,Developing,495.254866,3486715,12.6,74.1,126,20,23
Algeria,2007,Developing,3935.183343,34376,12.3,73.8,129,20,23
Algeria,2006,Developing,3464.6179,33777915,12.3,73.4,132,20,23
Algeria,2005,Developing,31.122378,33288437,12,72.9,136,19,22
Algeria,2004,Developing,2598.9823,3283196,11.7,72.3,14,19,23
Algeria,2003,Developing,294.33556,3243514,11.5,71.7,146,20,23
Algeria,2002,Developing,1774.33673,3199546,11.1,71.6,145,20,23
Algeria,2001,Developing,1732.857979,31592153,10.9,71.4,145,20,24
Algeria,2000,Developing,1757.17797,3118366,10.7,71.3,145,21,25
Angola,2015,Developing,3695.793748,2785935,11.4,52.4,335,66,98
Angola,2014,Developing,479.31224,2692466,11.4,51.7,348,67,101
Angola,2013,Developing,484.616884,2599834,11.4,51.1,355,69,105
Angola,2012,Developing,4598.249988,259615,10.3,56,358,72,110
Angola,2011,Developing,4299.12889,24218565,9.4,51,361,75,115
Angola,2010,Developing,3529.53482,23369131,9,49.6,365,78,121
Angola,2009,Developing,3347.84485,22549547,8.5,49.1,369,81,127
Angola,2008,Developing,3868.578883,2175942,8.1,48.7,371,84,133
Angola,2007,Developing,2878.837144,2997687,7.7,48.2,375,87,138
Angola,2006,Developing,262.415149,2262399,7.2,47.7,381,90,143
Angola,2005,Developing,1443.991929,19552542,6.8,47.4,382,92,148
Angola,2004,Developing,141.86844,18865716,6.4,47.1,386,94,152
Angola,2003,Developing,779.468356,1823369,5.9,46.8,388,95,155
Angola,2002,Developing,711.181716,17572649,5.5,46.5,391,96,157
Angola,2001,Developing,526.168743,16983266,5.1,45.7,44,97,159
Angola,2000,Developing,555.2969419,1644924,4.6,45.3,48,97,160
AntiguaandBarbuda,2015,Developing,13566.9541,,13.9,76.4,13,0,0
AntiguaandBarbuda,2014,Developing,12888.29667,,13.9,76.2,131,0,0
AntiguaandBarbuda,2013,Developing,12224.86416,,13.9,76.1,133,0,0
AntiguaandBarbuda,2012,Developing,12565.44197,,13.8,75.9,134,0,0
AntiguaandBarbuda,2011,Developing,11929.34991,,14.1,75.7,136,0,0
AntiguaandBarbuda,2010,Developing,12126.87614,,14.1,75.6,138,0,0
AntiguaandBarbuda,2009,Developing,1312.46692,,14.2,75.4,14,0,0
AntiguaandBarbuda,2008,Developing,1473.31923,,14.4,75.2,142,0,0
AntiguaandBarbuda,2007,Developing,14252.29452,,14.5,75,144,0,0
AntiguaandBarbuda,2006,Developing,12724.39377,,14.7,74.8,145,0,0
AntiguaandBarbuda,2005,Developing,11371.93895,,0,74.6,147,0,0
AntiguaandBarbuda,2004,Developing,1352.8374,,0,74.4,149,0,0
AntiguaandBarbuda,2003,Developing,9739.82556,,0,74.2,151,0,0
AntiguaandBarbuda,2002,Developing,9386.716452,,0,74,153,0,0
AntiguaandBarbuda,2001,Developing,9358.154162,,0,73.8,154,0,0
AntiguaandBarbuda,2000,Developing,9875.161736,,0,73.6,156,0,0
Argentina,2015,Developing,13467.1236,43417765,17.3,76.3,116,8,9
Argentina,2014,Developing,12245.25645,42981515,17.3,76.2,118,8,9
Argentina,2013,Developing,12976.63642,42539925,17.3,76,119,8,10
Argentina,2012,Developing,12969.7712,4296739,17.2,75.9,12,9,10
Argentina,2011,Developing,12726.9836,41656879,17.1,75.7,12,9,10
Argentina,2010,Developing,1276.265,41223889,16.8,75.5,121,10,11
Argentina,2009,Developing,8161.36966,479947,16.5,75.6,126,10,11
Argentina,2008,Developing,8953.359275,4382389,16.3,75.4,126,10,11
Argentina,2007,Developing,7193.61764,3997224,16.3,74.8,129,10,12
Argentina,2006,Developing,5878.76127,3955889,16.1,75.2,127,11,12
Argentina,2005,Developing,576.883829,39145488,16.3,74.9,127,11,12
Argentina,2004,Developing,4251.574348,38728696,16.3,74.7,13,11,12
Argentina,2003,Developing,333.4376,3839379,16.4,74.1,137,11,13
Argentina,2002,Developing,2579.193168,3788937,16.3,74.1,138,12,13
Argentina,2001,Developing,717.694674,3747159,15.6,74,138,12,13
Argentina,2000,Developing,7669.273916,3757452,15,74.1,137,12,14
Armenia,2015,Developing,369.654776,291695,12.7,74.8,118,1,1
Armenia,2014,Developing,3994.712355,29622,12.7,74.6,12,1,1
Armenia,2013,Developing,3843.591213,289359,12.7,74.4,123,1,1
Armenia,2012,Developing,3684.8481,2881922,12.7,74.4,121,1,1
Armenia,2011,Developing,3526.978143,2875581,12.7,73.9,128,1,1
Armenia,2010,Developing,3218.381655,2877311,12.3,73.5,132,1,1
Armenia,2009,Developing,2993.832531,2888584,11.9,73.3,137,1,1
Armenia,2008,Developing,41.26997,29822,12.3,73.2,14,1,1
Armenia,2007,Developing,3138.8873,293356,11.7,73.5,132,1,1
Armenia,2006,Developing,2158.299,29585,11.2,72.9,141,1,1
Armenia,2005,Developing,1643.758397,2981259,10.9,73,137,1,1
Armenia,2004,Developing,1191.96192,3612,10.9,73,132,1,1
Armenia,2003,Developing,93.1661567,31786,10.8,72.7,134,1,1
Armenia,2002,Developing,783.261699,333897,10.8,72.6,134,1,1
Armenia,2001,Developing,694.435119,35655,11.1,72.6,141,1,1
Armenia,2000,Developing,622.7427477,369588,11.2,72,142,1,1
Australia,2015,Developed,56554.3876,23789338,20.4,82.8,59,1,1
Australia,2014,Developed,62214.6912,2346694,20.4,82.7,6,1,1
Australia,2013,Developed,67792.3386,23117353,20.3,82.5,61,1,1
Australia,2012,Developed,67677.63477,22728254,20.1,82.3,61,1,1
