Country,Year,Status,Alcohol,percentageexpenditure,HepatitisB,Measles,BMI,Polio,Totalexpenditure,Diphtheria,HIV/AIDS,thinness1-19years,thinness5-9years,Incomecompositionofresources
Afghanistan,2015,Developing,0.01,71.27962362,65,1154,19.1,6,8.16,65,0.1,17.2,17.3,0.479
Afghanistan,2014,Developing,0.01,73.52358168,62,492,18.6,58,8.18,62,0.1,17.5,17.5,0.476
Afghanistan,2013,Developing,0.01,73.21924272,64,430,18.1,62,8.13,64,0.1,17.7,17.7,0.47
Afghanistan,2012,Developing,0.01,78.1842153,67,2787,17.6,67,8.52,67,0.1,17.9,18,0.463
Afghanistan,2011,Developing,0.01,7.097108703,68,3013,17.2,68,7.87,68,0.1,18.2,18.2,0.454
Afghanistan,2010,Developing,0.01,79.67936736,66,1989,16.7,66,9.2,66,0.1,18.4,18.4,0.448
Afghanistan,2009,Developing,0.01,56.76221682,63,2861,16.2,63,9.42,63,0.1,18.6,18.7,0.434
Afghanistan,2008,Developing,0.03,25.87392536,64,1599,15.7,64,8.33,64,0.1,18.8,18.9,0.433
Afghanistan,2007,Developing,0.02,10.91015598,63,1141,15.2,63,6.73,63,0.1,19,19.1,0.415
Afghanistan,2006,Developing,0.03,17.17151751,64,1990,14.7,58,7.43,58,0.1,19.2,19.3,0.405
Afghanistan,2005,Developing,0.02,1.388647732,66,1296,14.2,58,8.7,58,0.1,19.3,19.5,0.396
Afghanistan,2004,Developing,0.02,15.29606643,67,466,13.8,5,8.79,5,0.1,19.5,19.7,0.381
Afghanistan,2003,Developing,0.01,11.08905273,65,798,13.4,41,8.82,41,0.1,19.7,19.9,0.373
Afghanistan,2002,Developing,0.01,16.88735091,64,2486,13,36,7.76,36,0.1,19.9,2.2,0.341
Afghanistan,2001,Developing,0.01,10.5747282,63,8762,12.6,35,7.8,33,0.1,2.1,2.4,0.34
Afghanistan,2000,Developing,0.01,10.42496,62,6532,12.2,24,8.2,24,0.1,2.3,2.5,0.338
Albania,2015,Developing,4.6,364.9752287,99,0,58,99,6,99,0.1,1.2,1.3,0.762
Albania,2014,Developing,4.51,428.7490668,98,0,57.2,98,5.88,98,0.1,1.2,1.3,0.761
Albania,2013,Developing,4.76,430.8769785,99,0,56.5,99,5.66,99,0.1,1.3,1.4,0.759
Albania,2012,Developing,5.14,412.4433563,99,9,55.8,99,5.59,99,0.1,1.3,1.4,0.752
Albania,2011,Developing,5.37,437.0621,99,28,55.1,99,5.71,99,0.1,1.4,1.5,0.738
Albania,2010,Developing,5.28,41.82275719,99,10,54.3,99,5.34,99,0.1,1.4,1.5,0.725
Albania,2009,Developing,5.79,348.0559517,98,0,53.5,98,5.79,98,0.1,1.5,1.6,0.721
Albania,2008,Developing,5.61,36.62206845,99,0,52.6,99,5.87,99,0.1,1.6,1.6,0.713
Albania,2007,Developing,5.58,32.24655228,98,22,51.7,99,6.1,98,0.1,1.6,1.7,0.703
Albania,2006,Developing,5.31,3.3021542,98,68,5.8,97,5.86,97,0.1,1.7,1.8,0.696
Albania,2005,Developing,5.16,26.99312143,98,6,49.9,97,6.12,98,0.1,1.8,1.8,0.685
Albania,2004,Developing,4.54,221.8428,99,7,48.9,98,6.38,97,0.1,1.8,1.9,0.681
Albania,2003,Developing,4.29,14.71928882,97,8,47.9,97,6.27,97,0.1,1.9,2,0.674
Albania,2002,Developing,3.73,104.5169157,96,16,46.9,98,6.3,98,0.1,2,2.1,0.67
Albania,2001,Developing,4.25,96.20557078,96,18,46,97,6,97,0.1,2.1,2.1,0.662
Albania,2000,Developing,3.66,91.71154052,96,662,45,97,6.26,97,0.1,2.1,2.2,0.656
Algeria,2015,Developing,,0,95,63,59.5,95,,95,0.1,6,5.8,0.743
Algeria,2014,Developing,0.01,54.2373183,95,0,58.4,95,7.21,95,0.1,6,5.8,0.741
Algeria,2013,Developing,0.53,544.4507432,95,25,57.2,95,7.12,95,0.1,5.9,5.8,0.737
Algeria,2012,Developing,0.66,555.9260834,95,18,56.1,95,6.14,95,0.1,5.9,5.8,0.732
Algeria,2011,Developing,0.56,509.0020405,95,112,55,95,5.29,95,0.1,5.9,5.8,0.724
Algeria,2010,Developing,0.45,430.7175861,95,103,53.9,95,5.12,95,0.1,5.9,5.8,0.714
Algeria,2009,Developing,0.5,352.0636419,94,107,52.8,94,5.36,95,0.1,6,5.9,0.705
Algeria,2008,Developing,0.46,43.08717334,91,217,51.8,92,4.2,93,0.1,6,5.9,0.697
Algeria,2007,Developing,0.44,320.3239241,9,0,5.8,95,3.82,95,0.1,6,5.9,0.69
Algeria,2006,Developing,0.36,270.2401962,8,944,49.8,95,3.36,95,0.1,6.1,6,0.686
Algeria,2005,Developing,0.5,2.548922758,83,2302,48.9,88,3.24,88,0.1,6.1,6,0.68
Algeria,2004,Developing,0.45,220.393699,81,3289,47.9,86,3.54,86,0.1,6.2,6.1,0.673
Algeria,2003,Developing,0.34,25.0185226,,15374,47,87,3.6,87,0.1,6.3,6.1,0.663
Algeria,2002,Developing,0.36,148.5119843,,5862,46.1,86,3.73,86,0.1,6.3,6.2,0.653
Algeria,2001,Developing,0.23,147.9860714,,2686,45.3,89,3.84,89,0.1,6.4,6.3,0.644
Algeria,2000,Developing,0.25,154.4559436,,0,44.4,86,3.49,86,0.1,6.5,6.4,0.636
Angola,2015,Developing,,0,64,118,23.3,7,,64,1.9,8.3,8.2,0.531
Angola,2014,Developing,8.33,23.965612,64,11699,22.7,68,3.31,64,2,8.5,8.3,0.527
Angola,2013,Developing,8.1,35.95857279,77,8523,22.1,67,4.26,77,2.3,8.6,8.5,0.523
Angola,2012,Developing,8.24,256.1225243,75,4458,21.5,75,3.3,75,2.6,8.8,8.6,0.508
Angola,2011,Developing,8.06,239.8913921,72,1449,21,73,3.38,71,2.5,8.9,8.8,0.495
Angola,2010,Developing,7.8,191.6537407,77,1190,2.4,81,3.39,77,2.5,9.1,9,0.488
Angola,2009,Developing,7.01,212.9229325,61,2807,19.8,63,4.37,6,2.5,9.3,9.2,0.48
Angola,2008,Developing,7.07,249.9101958,69,265,19.3,65,3.84,69,2.6,9.5,9.4,0.468
Angola,2007,Developing,6.35,184.8213446,73,1014,18.8,75,3.38,73,2.6,9.6,9.6,0.454
Angola,2006,Developing,5.84,25.08688824,,765,18.2,36,4.54,34,2.5,9.8,9.7,0.439
Angola,2005,Developing,5.04,98.19145117,,258,17.7,39,4.1,38,2.6,1,9.9,0.426
Angola,2004,Developing,3.53,8.8667775,,29,17.2,4,4.71,4,2.5,1.2,1.1,0.415
Angola,2003,Developing,3.49,35.93349121,,1196,16.8,4,4.41,4,2.4,1.4,1.3,0.406
Angola,2002,Developing,2.82,24.037942,,11945,16.3,37,3.63,41,2.3,1.5,1.5,0.401
Angola,2001,Developing,2.58,30.35993647,,9046,15.8,41,5.38,38,2.1,1.7,1.7,0.391
Angola,2000,Developing,1.85,15.88149254,,2219,15.4,3,2.79,28,2,1.9,1.9,0.382
AntiguaandBarbuda,2015,Developing,,0,99,0,47.7,86,,99,0.2,3.3,3.3,0.784
